,gender_word,verb,relation,gender
0,哥哥,姊姊,conj,male
1,姊姊,有,dobj,female
2,男生,是,attr,male
3,男孩子,朋友,nn,male
4,男生,为数,nsubj,male
5,他们,同,nsubj,male
6,他,在,nsubj,male
7,他,屋里的,nn,male
8,他,拍,nsubj,male
9,他们,找,dobj,male
10,男友,喜欢,nsubj,male
11,男生,住,dobj,male
12,男生,看,dobj,male
13,他们,内衣裤,assmod,male
14,女孩子,气,nsubj,female
15,男生,讨厌,dobj,male
16,她,比,pobj,female
17,她,送,dobj,female
18,女孩,注视,dobj,female
19,妈妈,们,assmod,female
20,他们,发起,nsubj,male
21,他们,跟,pobj,male
22,他们,种植,nsubj,male
23,母亲,央,dobj,female
24,她,央,dobj,female
25,他们,命名,nsubj,male
26,她,人,nn,female
27,她,告诉,nsubj,female
28,她,来,nsubj,female
29,她,遇到,top,female
30,男生,有,dobj,male
31,他们,牛,nsubj,male
32,他们,同情,dobj,male
33,他们,田地,assmod,male
34,男友,带,nsubj,male
35,他们,充满,nsubj,male
36,女儿,想到,dobj,female
37,女人,是,attr,female
38,男孩,在,nsubj,male
39,他,温暖,nsubj,male
40,女人,变成,dobj,female
41,他,是,top,male
42,她,是,attr,female
43,她,们,nn,female
44,男孩子,们,amod,male
45,女儿,带,dobj,female
46,他们,迁徙,nsubj,male
47,父亲,是,top,male
48,父亲,是,top,male
49,女孩,像,nsubj,female
50,她,与,pobj,female
51,女儿,给,pobj,female
52,女人,觉得,nsubj,female
53,女,觉得,dobj,female
54,她们,研究,dobj,female
55,她们,平凡,nsubj,female
56,她,们,assmod,female
57,男朋友,们,nn,male
58,他们,随,pobj,male
59,男生,打量,nsubj,male
60,他,同情,dobj,male
61,女,同胞,amod,female
62,她,怪叫,nsubj,female
63,他,脸,conj,male
64,他们,远行,nsubj,male
65,男人,幻想,nsubj,male
66,女人,幻想,dobj,female
67,他,想到,nsubj,male
68,他们,是,nsubj,male
69,他,给,dobj,male
70,女儿,尾随,nsubj,female
71,女儿,告诉,dobj,female
72,女儿,与,pobj,female
73,她,给,nsubj,female
74,她,替,pobj,female
75,女儿,带,dobj,female
76,女儿,在,nsubj,female
77,女儿,带,dobj,female
78,女儿,说话,nsubj,female
79,她,教,dobj,female
80,她,强迫,dobj,female
81,女儿,毕业,nsubj,female
82,她,代,dobj,female
83,女儿,想,xsubj,female
84,她,蹲踞,nsubj,female
85,女儿,看到,dobj,female
86,她,寄来,nsubj,female
87,她,在,nsubj,female
88,她,足,nsubj,female
89,她,对,pobj,female
90,她,寄,nsubj,female
91,女儿,上,nsubj,female
92,她,捐,dobj,female
93,女儿,惊讶,nsubj,female
94,她,脸,nn,female
95,她,来,nsubj,female
96,她,捡,nsubj,female
97,女儿,大,nsubj,female
98,女儿,舍弃,dobj,female
99,姊妹,俩,dep,female
100,女儿,替,pobj,female
101,女儿,想起,dobj,female
102,女儿,思念,dobj,female
103,女儿,在,nsubj,female
104,女儿,与,pobj,female
105,他们,用,nsubj,male
106,女儿,问,nsubj,female
107,女儿,笑,dobj,female
108,女儿,饮,nsubj,female
109,女儿,给,pobj,female
110,女儿,捡拾,nsubj,female
111,女儿,跟,pobj,female
112,女儿,动容,nsubj,female
113,女,无义,top,female
114,他们,去掉,nsubj,male
115,女人,是,attr,female
116,女儿,来,nsubj,female
117,她,与,pobj,female
118,她,告诉,dobj,female
119,她,带,dobj,female
120,女儿,带,dobj,female
121,女儿,告诉,dobj,female
122,他,不准,dobj,male
123,他们,相信,nsubj,male
124,女儿,协助,dobj,female
125,他们,拆,nsubj,male
126,他们,跟,pobj,male
127,男生,们,nn,male
128,男生,拿,nsubj,male
129,男孩,拥抱,nsubj,male
130,男孩,告一段落,nsubj,male
131,男孩,整好,nsubj,male
132,她,喜欢,nsubj,female
133,父亲,灵魂,assmod,male
134,她,是,top,female
135,父亲,牵挂,nsubj,male
136,他们,打算,nsubj,male
137,他,挪,nsubj,male
138,他,一模一样,nsubj,male
139,他,批判,nsubj,male
140,他们,做,nsubj,male
141,女儿,告诉,dobj,female
142,她,爸爸,nn,female
143,爸爸,约会,nsubj,male
144,女儿,念,nsubj,female
145,她,住,nsubj,female
146,女儿,想到,dobj,female
147,女儿,做,nsubj,female
148,女儿,来,nsubj,female
149,她,教,dobj,female
150,他们,表情,nn,male
151,他们,练就,nsubj,male
152,女子,帅哥,conj,female
153,兄弟,帅哥,assmod,male
154,他,配乐,nn,male
155,婆婆,是,attr,female
156,妈妈,机警,nsubj,female
157,爸爸,有,nsubj,male
158,外公,家,nn,male
159,外公,家,nn,male
160,妹妹,弟弟,nn,female
161,弟弟,载,dobj,male
162,他们,护持,nsubj,male
163,他,像,pobj,male
164,男人,女人,nn,male
165,女人,身上,nn,female
166,女儿,和,pobj,female
167,女儿,吃,nsubj,female
168,他们,卖,nsubj,male
169,女儿,语言,assmod,female
170,他们,相处,nsubj,male
171,她,一样,nsubj,female
172,她,是,top,female
173,她,寄给,dobj,female
174,女儿,与,pobj,female
175,她,像,pobj,female
176,女儿,摘,nsubj,female
177,女儿,走,nsubj,female
178,女儿,厮混,nsubj,female
179,父亲,替,pobj,male
180,他,朝,pobj,male
181,女儿,爱,nsubj,female
182,女子,学校,nn,female
183,男生,持,nsubj,male
184,男人,拐,nsubj,male
185,他们,穿,nsubj,male
186,女儿,任,pobj,female
187,女儿,盛情,nsubj,female
188,他,熟悉,nsubj,male
189,他,自传,nn,male
190,他,说,nsubj,male
191,他,死,assmod,male
192,他们,认为,nsubj,male
193,女儿,捡拾,nsubj,female
194,外公,去,nsubj,male
195,外婆,抛开,nsubj,female
196,先生,娘,nn,male
197,外公,控制,nsubj,male
198,外婆,高血压,assmod,female
199,外婆,挣脱,dobj,female
200,外公,司药,assmod,male
201,外公,家,nn,male
202,女儿,时代,assmod,female
203,她,充满,nsubj,female
204,女儿,动线,assmod,female
205,他,种,dobj,male
206,堂哥,家,nn,male
207,女儿,有,nsubj,female
208,女儿,属于,dobj,female
209,她,记得,nsubj,female
210,她,惊恸,nsubj,female
211,她,心版,assmod,female
212,她,放心,nsubj,female
213,她,让,dobj,female
214,女儿,打开,nsubj,female
215,男朋友,拍下,nsubj,male
216,他,手,assmod,male
217,他,提醒,dobj,male
218,他们,排队,nsubj,male
219,他,心愿,nn,male
220,她,想见,dobj,female
221,外公,外婆,nn,male
222,外婆,牵,nsubj,female
223,外公,指,nsubj,male
224,外婆,感叹,nsubj,female
225,外公,向,pobj,male
226,外婆,怀抱,nsubj,female
227,外公,怕,dobj,male
228,她们,美国人,nn,female
229,她,打算,nsubj,female
230,她,传给,dobj,female
231,她,以为,nsubj,female
232,她,待,nsubj,female
233,她,亲爱过,nsubj,female
234,女儿,亲爱过,dobj,female
235,母亲,替,pobj,female
236,太太,冰亮,nsubj,female
237,她,书籍,nn,female
238,她,问,dobj,female
239,女孩,那里,nn,female
240,男朋友,是,attr,male
241,他,死掉,nsubj,male
242,男孩子,爱上,dobj,male
243,女生,租给,dobj,female
244,女儿,是,attr,female
245,他们,成,nsubj,male
246,女儿,和,pobj,female
247,女子,打扮,nsubj,female
248,女神,打扮,nsubj,female
249,男生,扯,nsubj,male
250,女,同事,amod,female
251,女,们,amod,female
252,妈妈,像,pobj,female
253,外公,像,dobj,male
254,外公,像,dobj,male
255,外婆,喊,dobj,female
256,外婆,是,top,female
257,外公,面前,lobj,male
258,舅妈,媳妇,nn,female
259,她,媳妇,assmod,female
260,女人,吉野太夫,nn,female
261,女孩,拉,nsubj,female
262,姊妹,苗子,nn,female
263,他,向,pobj,male
264,她,来,nsubj,female
265,她,像,nsubj,female
266,她,等,dobj,female
267,他,推销,top,male
268,他,旅馆,assmod,male
269,先生,瞄到,nsubj,male
270,他,向,pobj,male
271,外公,念,advmod,male
272,外公,纪念册,assmod,male
273,男生,坐,nsubj,male
274,他们,行经,nsubj,male
275,女儿,去,nsubj,female
276,她们,做到,top,female
277,她们,替,pobj,female
278,姊姊,男友,conj,female
279,男友,有,dobj,male
280,她们,办到,top,female
281,父亲,是,top,male
282,她,主张,assmod,female
283,她,考虑,nsubj,female
284,她,去,nsubj,female
285,她,约,nsubj,female
286,她,工作,nn,female
287,她们,领,nsubj,female
288,他们,应,nsubj,male
289,女儿,放学,nsubj,female
290,男友,与,pobj,male
291,男友,告诉,nsubj,male
292,他,等候,nsubj,male
293,他,向,pobj,male
294,他,穿,nsubj,male
295,他,安慰,dobj,male
