,gender_word,verb,relation,gender
0,妈妈,取名,nsubj,female
1,妈妈,顶,nsubj,female
2,爷爷,喜欢,nsubj,male
3,他们,像,nsubj,male
4,妈妈,与,pobj,female
5,他,告诉,nsubj,male
6,他,圈子,assmod,male
7,他,一样,nsubj,male
8,他,是,top,male
9,他,告诉,nsubj,male
10,他,怪异,nsubj,male
11,他,国,nsubj,male
12,他,号啕大哭,nsubj,male
13,他们,抽取,nsubj,male
14,他们,考上,nsubj,male
15,他,称呼,nsubj,male
16,她,说,nsubj,female
17,爸爸,买,nsubj,male
18,妹妹,有,nsubj,female
19,她,让,dobj,female
20,他们,自己,dep,male
21,他,拿起,nsubj,male
22,他,说,nsubj,male
23,男,无情,nsubj,male
24,女,无义,top,female
25,她,喜欢,nsubj,female
26,妈妈,读书,nsubj,female
27,妈妈,看,nsubj,female
28,她,看,dobj,female
29,她,背,nsubj,female
30,他们,念,nsubj,male
31,他,是,nsubj,male
32,他,寻找,nsubj,male
33,他,被,nsubjpass,male
34,他,妻子,nn,male
35,她,号码,assmod,female
36,爸爸,和,pobj,male
37,外公,是,top,male
38,男人,是,attr,male
39,他,开,nsubj,male
40,他,出,nsubj,male
41,他,怕,dobj,male
42,她,认识,dobj,female
43,她,忙,nsubj,female
44,爸爸,忙,nsubj,male
45,妈妈,忙,nsubj,female
46,她,有,top,female
47,女,剪,nsubj,female
48,爸爸,妹妹,conj,male
49,妹妹,去,nsubj,female
50,妈妈,是,top,female
51,她,人,nn,female
52,她们,人,nn,female
53,女,丫头,amod,female
54,她,相信,nsubj,female
55,他,找,nsubj,male
56,他,回,nsubj,male
57,他,小心翼翼,nsubj,male
58,他,希望,nsubj,male
59,妹妹,像,dobj,female
60,他,朋友,assmod,male
61,他,亲人,assmod,male
62,他,云游,assmod,male
63,男子,吹奏,nsubj,male
64,她,认作,nsubj,female
65,哥哥,是,attr,male
66,妹妹,是,attr,female
67,舅舅,是,attr,male
68,爷爷,读者,nn,male
69,他,取出,nsubj,male
70,他,秘密,assmod,male
71,他,学生,assmod,male
72,她,看,dobj,female
73,她,眼睛,nn,female
74,她,冲进,nsubj,female
75,他,恳求,nsubj,male
76,他,说,nsubj,male
77,他,公司,assmod,male
78,他,给,dobj,male
79,他,打断,dobj,male
80,他,家,assmod,male
81,小姐,身上,nn,female
82,她,像,nsubj,female
83,她,等,dobj,female
84,她们,没有,nsubj,female
85,男孩,笑,nsubj,male
86,他们,叫,nsubj,male
87,爸爸,姊,conj,male
88,妈妈,姊,conj,female
89,他,徘徊,nsubj,male
90,他,年轻,nsubj,male
91,他,找,nsubj,male
92,他,让,dobj,male
93,她们,跟,pobj,female
94,她,是,nsubj,female
95,他,爱,dobj,male
96,他,好,top,male
97,她,界定,dobj,female
98,她,跨足,nsubj,female
99,女孩,名声,assmod,female
100,他,回信,nn,male
101,他,忘,nsubj,male
102,他们,是,nsubj,male
103,先生,长,nsubj,male
104,先生,短,nsubj,male
105,他们,大家长,assmod,male
106,妈妈,们,nn,female
107,她,穿,nsubj,female
108,她,次,assmod,female
109,她,在乎,nsubj,female
110,她,牵,dobj,female
111,她,告诉,dobj,female
112,女儿,回来,nsubj,female
113,她,请,dobj,female
114,她,指给,dobj,female
115,他,路,nn,male
116,他,愿意,nsubj,male
117,他,想,nsubj,male
118,妹妹,替,pobj,female
119,女生,记忆,assmod,female
120,女生,听命,nsubj,female
121,他们,使得,dobj,male
122,他,眼睛,assmod,male
123,他,说,nsubj,male
124,他,说,nsubj,male
125,他,悟,nsubj,male
126,女人,吉野太夫,nn,female
127,女,清,conj,female
128,她,瘦,nsubj,female
129,她,答非所问,nsubj,female
130,她,哲学,nn,female
131,她,实力,assmod,female
132,她,让,dobj,female
133,他,同学,assmod,male
134,哥哥,是,nsubj,male
135,他,问,dobj,male
136,他们,讨钱,nsubj,male
137,先生,合,nsubj,male
138,他们,让,dobj,male
139,女孩,使,nsubj,female
140,外公,立志,nsubj,male
141,外公,家,nn,male
142,外公,看病,nsubj,male
143,她,说,nsubj,female
144,男孩,是,attr,male
145,男孩,是,attr,male
146,男孩,偏,nsubj,male
